投币
55.1万
2.9万
21.6万
13.4万
1.9万
41.7万
5.1万
2.6万
9.0万
3.9万
43.9万
7.4万
2.7万
3.4万
27.0万
4.9万
2.6万
38.2万
18.7万
23.5万
1.6万
1.7万
20.2万
17.5万
2405
11.9万
3.0万
38.1万
1.1万
3.6万
1.8万
2.7万
6.8万
2.3万
4.7万
3.2万
8.1万
14.9万
18.3万
9.8万
21.3万
22.4万
21.4万
80.3万
31.7万
37.2万
15.3万
2.4万
31.2万
1.4万
67.4万
29.6万
33.0万
1.2万
11.9万
30.0万
26.5万
23.1万
7623
4.0万
10.5万
27.8万
2.7万
61.9万
4.8万
49.5万
6.6万
11.3万
8.5万
6.0万
11.2万
23.5万
26.2万
10.0万
8.4万
6.3万
6.2万
3.0万
6.8万
41.6万
55.2万
11.4万
7.6万
17.7万
1.6万
4.4万
3808
255.9万
43.9万
3.3万
34.3万
12.5万
22.7万
17.4万
3.8万
6.3万
16.0万
3.4万
10.1万
2.2万
76.2万
8.5万
67.6万
1.6万
60.0万
14.8万
53.6万
9.1万
3.2万
142.8万
130.5万
8.2万
35.6万
2.1万
8.2万
13.1万
9.3万
2.0万
74.0万
2.3万
2.2万
35.7万
27.3万
12.3万
15.3万
4.5万
30.7万
23.4万
56.0万
15.1万
41.5万
13.7万
14.6万
7.6万
53.1万
16.2万
10.4万
70.1万
6.5万
6.3万
24.4万
549.9万
3.8万
34.2万
16.0万
10.9万
4.9万
96.6万
89.1万
6.1万
4.5万
70.9万
3427
21.1万
91.1万
36.8万
3.5万
28.4万
26.9万
18.3万
10.0万
12.7万
9.7万
9330
15.3万
19.0万
3.6万
13.7万
23.6万
3.9万
5.1万
10.5万
18.5万
55.9万
10.8万
17.4万
14.7万
21.2万
83.2万
6.7万
17.0万
168.5万
4.9万
5.0万
31.4万
25.2万
8.0万
3.8万
8.0万
93.4万
13.5万
15.0万
5.3万
18.9万
7.8万
2.7万
77.0万
14.0万
10.2万
7.2万
25.7万
28.6万
55.8万
2.4万
84.7万
23.1万
6.7万
27.7万
27.3万
11.2万
11.4万
34.4万
3.1万
4.0万
9.7万
7.7万
4.2万
15.3万
7.4万
40.3万
5.8万
75.5万
11.1万
10.9万
2.6万
4.3万
13.9万
15.0万
1.5万
44.3万
29.9万
23.1万
25.2万
39.1万
39.6万
3.1万
6.1万
3.6万
13.2万
23.4万
4.6万
14.6万
25.7万
7.5万
38.9万
10.3万
5.9万
11.4万
5.5万
7.5万
9.1万
11.3万
11.7万
8.5万
8895
1.9万
4661
4194
1.2万
20.8万
5.1万
30.5万
27.0万
17.1万
1.5万
4.9万
2.9万
8.6万
14.4万
44.4万
4.2万
29.9万
43.8万
45.3万
40.7万
8.9万
51.5万
30.7万
3.4万
3.8万
13.7万
13.0万
16.9万
3.4万
16.3万
28.4万
1.9万
65.7万
1.4万
9.6万
1.1万
9754
20.2万
7.9万
4.6万
54.4万
2.0万
21.1万
24.9万
4.2万
17.2万
9.4万
3.4万
40.9万
3.5万
14.0万
14.1万
22.1万
55.9万
2.6万
27.5万
45.8万
46.8万
66.4万
6.9万
6.5万
21.3万
2.1万
7.5万
9.8万
16.2万
8.0万
11.0万
43.2万
6556
76.3万
17.8万
133.2万
37.5万
9.9万
78.3万
29.7万
70.5万
20.4万
33.1万
3.0万
31.1万
6.1万
31.9万
6.7万
9.0万
26.8万
50.5万
9.9万
5.4万
35.8万
2.9万
6.4万
14.7万
9.4万
21.3万
7346
1.1万
8.8万
10.7万
10.8万
35.2万
3.6万
17.0万
2.2万
21.7万
1.9万
28.5万
14.0万
7.3万
63.7万
17.1万
12.3万
37.2万
1.6万
3.5万
27.5万
2.6万
54.1万
22.4万
43.8万
12.2万
29.2万
36.1万
12.7万
91.8万
15.1万
3.5万
11.0万
4.2万
32.8万
66.2万
52.5万
38.5万
164.6万
31.4万
9.2万
2399
9.7万
1.3万
21.2万
17.9万
22.1万
5.7万
29.5万
19.2万
15.5万
47.6万
14.8万
50.4万
169.6万
74.4万
104.4万
32.3万
32.3万
75.9万
39.6万
28.9万
15.6万
30.6万
113.0万
2.2万
20.6万
53.4万
6.5万
30.7万
31.3万
73.7万
25.4万
25.9万
4.2万
3.3万
19.9万
94.4万
41.6万
18.6万
26.5万
37.9万
41.6万
22.0万
91.9万
14.7万
22.2万
18.2万
23.0万
51.0万
109.8万
23.9万
54.5万
7.1万
25.0万
17.5万
9.9万
16.7万
53.0万
26.3万
4.6万
100.9万
5.5万
120.2万
20.9万
92.5万
25.7万
17.1万
57.1万
53.0万
4.7万
89.8万
18.4万
30.8万
15.0万
14.0万
16.6万
15.2万
45.5万
13.6万
22.7万
40.5万
10.2万
10.3万
27.4万
10.4万
18.0万
53.7万
36.4万
27.5万
12.7万
29.1万
29.3万
28.1万
18.1万
7.0万
25.8万
28.1万
6.0万
25.8万
26.4万
10.3万
32.6万
27.3万
13.9万
162.3万
8.7万
11.9万
20.2万
11.2万
17.0万
18.2万
4.0万
17.9万
69.6万
7.4万
14.0万
89.5万
28.9万
13.9万
10.5万
39.5万
10.0万
20.6万
47.0万
14.4万
4.1万
10.5万
39.7万
49.0万
31.0万
5.6万
32.7万
10.5万
10.6万
75.7万
16.1万
9.9万
18.2万
8.0万
13.7万
29.9万
5.7万
60.5万
6.0万
103.1万
94.5万
14.6万
5.5万
19.0万
24.0万
20.4万
11.0万
21.9万
4.5万
41.1万
8.6万
19.7万
31.8万
48.5万
76.4万
18.2万
7.1万
9.7万
13.6万
3.0万
25.6万
11.7万
17.8万
10.3万
43.5万
8.2万
24.2万
43.7万
6.8万
22.4万
10.3万
75.5万
12.5万
7.8万
9.4万
9.2万
28.2万
23.8万
9.3万
347.8万
18.8万
38.8万
28.0万
14.6万
27.7万
42.1万
14.7万
16.5万
7.2万
5.7万
6.9万
18.8万
32.9万
19.0万
10.8万
22.6万
23.9万
13.8万
16.5万
32.4万
31.2万
18.6万
17.1万
13.7万
14.6万
31.1万
11.2万
5.2万
11.2万
41.5万
36.8万
21.0万
11.3万
16.4万
2.3万
11.9万
8.3万
15.4万
5.9万
12.4万
19.7万
7.3万
21.6万
9.6万
61.5万
12.6万
16.0万
14.8万
6.7万
11.1万
17.8万
10.2万
15.0万
7.2万
17.1万
75.7万
7.7万
22.4万
13.2万
21.1万
16.5万
7.2万
4.9万
9.2万
13.5万
17.1万
4.3万
6.3万
19.2万
6.3万
9.9万
19.3万
81.5万
45.2万
12.6万
39.5万
10.3万
75.0万
27.9万
12.2万
22.8万
34.0万
10.2万
1.1万
119.8万
31.8万
17.1万
58.5万
51.4万
58.9万
7.0万
50.7万
8.1万
21.5万
10.4万
5.3万
69.9万
8.2万
11.3万
13.5万
18.0万
25.1万
7.3万
11.3万
7.8万
56.8万
31.5万
42.3万
31.4万
15.2万
8.4万
29.5万
7.5万
7.4万
4.9万
21.9万
6.3万
6.3万
2.4万
9.8万
18.2万
14.7万
12.1万
26.5万
9.9万
2.5万
27.8万
1.1万
45.9万
17.5万
7.0万
5.8万
14.8万
15.1万
2.4万
5.6万
14.2万
19.7万
2.7万
2.4万
3.3万
3.6万
142.5万
66.2万
23.2万
10.4万
31.8万
23.1万
12.5万
7.1万
12.1万
11.0万
5.3万
111.9万
1.5万
2.2万
7.6万
14.0万
6.9万
12.0万
29.7万
9.9万
24.2万
14.5万
11.2万
11.9万
31.2万
19.2万
7.5万
11.5万
19.0万
49.7万
11.9万
6.4万
9.3万
21.9万
4.0万
3.4万
22.5万
17.2万
17.9万
16.1万
30.9万
26.5万
17.0万
7.5万
15.3万
11.3万
18.1万
16.0万
8.5万
11.3万
23.5万
32.8万
5.9万
6.1万
15.0万
18.9万
14.1万
94.9万
29.2万
19.9万
26.6万
14.9万
25.1万
9.9万
8.6万
15.6万
25.6万
1.9万
8.3万
2.1万
50.5万
16.7万
10.1万
1.9万
18.4万
92.2万
2.8万
6.5万
16.1万
19.6万
19.8万
10.0万
14.9万
4.3万
8.3万
10.8万
28.1万
11.4万
11.8万
3.7万
33.3万
16.9万
10.7万
7.7万
2.9万
8.4万
6.7万
6.4万
15.3万
272.3万
98.5万
36.0万
4.8万
87.5万
36.9万
38.0万
9.6万
21.8万
10.0万
10.4万
21.9万
21.5万
19.5万
9.9万
6.9万
27.3万
8.5万
10.0万
6.7万
9.2万
4.3万
16.7万
6.6万
30.6万
15.7万
7.1万
2.8万
12.2万
29.9万
15.3万
14.7万
8295
9.3万
42.2万
9.3万
15.6万
11.0万
10.6万
12.7万
5.2万
22.8万
7.6万
15.7万
6.5万
14.3万
17.0万
18.3万
33.0万
90.6万
55.6万
28.7万
33.3万
13.0万
33.2万
19.0万
14.9万
13.8万
8.7万
16.7万
24.8万
4.9万
9.1万
18.2万
55.3万
82.1万
23.7万
21.6万
46.9万
15.7万
16.5万
48.4万
38.6万
10.0万
8.2万
9.9万
7.1万
8.2万
9.4万
12.0万
21.8万
10.7万
8.4万
11.3万
47.0万
4.8万
29.9万
8.8万
10.2万
6.5万
53.1万
14.5万
3.4万
8.2万
17.0万
7.9万
19.9万
7.2万
5.6万
5.6万
13.7万
6.9万
5.8万
5.4万
4.4万
3.1万
11.4万
6.6万
9.5万
49.5万
10.0万
7.8万
6.1万
4.9万
8.9万
26.4万
20.9万
4.9万
13.4万
30.7万
8.2万
9.9万
17.0万
6.8万
3.6万
3.6万
12.7万
5.3万
37.9万
17.8万
36.0万
87.4万
2.6万
12.1万
15.3万
20.0万
49.7万
14.4万
13.8万
23.6万
23.8万
35.7万
32.2万
13.8万
42.6万
9.1万
19.5万
13.9万
5.3万
12.7万
2.4万
5.4万
6.4万
25.2万
8.0万
5.6万
62.5万
93.8万
4.1万
13.2万
20.9万
27.6万
12.9万
10.5万
5.6万
7.0万
5.0万
3.5万
7.2万
41.4万
3.2万
14.8万
2.0万
9.5万
3.2万
21.9万
5.9万
33.6万
79.6万
45.2万
63.2万
22.2万
13.2万
8.5万
23.4万
16.5万
10.5万
20.8万
9.6万
4.5万
16.1万
9.7万
6.7万
10.5万
10.9万
21.8万
43.9万
28.5万
22.1万
26.2万
13.3万
43.4万
82.4万
27.1万
61.5万
81.6万
6.4万
26.9万
15.2万
8.5万
5.8万
8.4万
2.1万
57.7万
3.1万
2.8万
11.8万
1.8万
14.4万
33.8万
8.8万
19.8万
